#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,#,.,.,.,#,[,],.,.,.,.,.,.,#, , , , ,#,.,.,.,.,.,.,#,.,.,.,.,-,-,.,.,#
#,.,.,.,#,.,.,.,#,.,.,.,.,-,.,.,.,#, , , , ,#,.,.,-,.,.,.,#,.,.,.,.,.,-,.,.,#
#,.,.,.,#,.,-,.,#,.,.,.,.,#,.,.,.,#, , , , ,#,.,.,#,#,.,.,#,.,.,#,.,.,.,.,.,#
#,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#, , , , ,#,.,.,.,#,.,.,#,.,.,#,.,.,.,.,.,#
#,.,-,.,#,.,#,#,#,#,#,#,#,#,.,.,.,#, , , , ,#,.,.,.,#,.,.,#,.,#,#,.,.,.,.,.,#
#,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,#, , , , ,#,.,[,],#,.,.,#,.,#,.,.,#,.,.,.,#
#,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,#, , , , ,#,#,#,#,#,#,.,#,.,#,.,.,#,.,.,.,#
#,.,.,.,.,.,.,#,.,#,#,#,#,#,#,.,.,#, , , , , , , , , ,#,.,-,.,#,.,-,#,.,.,.,#
#,#,#,#,#,.,.,#,.,#,.,.,.,.,#,.,.,#, , , , , , , , , ,#,.,.,.,#,.,.,#,#,-,.,#
#,{,},.,#,.,.,#,.,.,.,-,.,.,#,.,.,#, , , , , , , , , ,#,#,#,#,#,.,.,#,.,.,.,#
#,.,.,.,#,.,.,#,#,#,#,#,.,.,#,.,.,#, , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#
#,.,.,.,#,#,#,#,.,.,-,.,.,.,#,.,.,#, , ,., , , , , , ,#,.,.,.,.,.,.,#,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,., , , , , , ,#,.,.,.,.,.,.,#,.,{,},#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , , , , , , ,#,#,#,#,#,#,.,#,#,#,#,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , , , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,., , ,
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, , , , , ,#,#,#,#,#,#,#,#,#,#,#,#,.,#,#,#
#,.,{,},#,#,.,.,.,.,.,.,.,.,.,.,.,#, , , , , ,#,{,},.,#,.,.,.,.,.,.,#,.,.,.,#
#,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,#, , , , , ,#,.,.,.,#,.,.,.,.,.,.,#,.,.,.,#
#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#, , , , , ,#,.,.,.,#,.,.,-,.,.,.,#,.,.,.,#
#,#,#,.,.,#,#,.,.,.,.,.,.,.,#,#,.,#, , , , , ,#,.,.,.,#,#,.,#,.,.,.,#,.,.,.,#
#,.,.,.,#,#,#,.,.,.,.,.,.,.,#,.,.,#, , , , , ,#,.,.,.,.,#,.,#,.,.,.,#,#,-,.,#
#,.,#,.,.,#,#,#,#,.,.,.,.,.,#,.,-,#, , , , , ,#,.,.,-,.,#,.,#,.,.,.,.,.,.,.,#
#,.,#,-,.,#,#,#,#,.,#,#,#,.,#,.,.,#, , , , , ,#,#,#,#,.,#,.,#,.,.,.,.,.,.,.,#
#,#,#,.,.,.,.,.,.,.,#,.,#,.,#,[,],#, , , , , , , , ,#,.,.,.,#,#,#,#,#,#,#,#,#
#,.,.,.,.,-,.,.,.,#,#,.,#,.,#,#,#,#, , , , , , , , ,#,.,.,.,#,.,.,.,.,.,[,],#
